,ID_Cliente,Evasao,Genero,Eh_Idoso,Tem_Parceiro,Tem_Dependentes,Tempo_Contrato,Servico_Telefone,Linhas_Multiplas,Servico_Internet,Adiconal_Seguranca,Adicional_Backup,Adiconal_Protecao,Adicional_Suporte,Streaming_TV,Streaming_Filmes,Tipo_Contrato,Valor_Dia,Conta_Digital,Metodo_Pagamento,Valor_Mensal,Valor_Total
0,0002-ORFBO,Não,Feminino,Não,Sim,Sim,9,Sim,Não,DSL,Não,Sim,Não,Sim,Sim,Não,Anual,2.19,Sim,Cheque,65.6,593.3
1,0003-MKNFE,Não,Masculino,Não,Não,Não,9,Sim,Sim,DSL,Não,Não,Não,Não,Não,Sim,Mensal,2.0,Não,Cheque,59.9,542.4
2,0004-TLHLJ,Sim,Masculino,Não,Não,Não,4,Sim,Não,Fibra Óptica,Não,Não,Sim,Não,Não,Não,Mensal,2.46,Sim,Cheque eletrônico,73.9,280.85
3,0011-IGKFF,Sim,Masculino,Sim,Sim,Não,13,Sim,Não,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,3.27,Sim,Cheque eletrônico,98.0,1237.85
4,0013-EXCHZ,Sim,Feminino,Sim,Sim,Não,3,Sim,Não,Fibra Óptica,Não,Não,Não,Sim,Sim,Não,Mensal,2.8,Sim,Cheque,83.9,267.4
5,0013-MHZWF,Não,Feminino,Não,Não,Sim,9,Sim,Não,DSL,Não,Não,Não,Sim,Sim,Sim,Mensal,2.31,Sim,Cartão de crédito (automática),69.4,571.45
6,0013-SMEOE,Não,Feminino,Sim,Sim,Não,71,Sim,Não,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,3.66,Sim,Tranferência bancária (automática),109.7,7904.25
7,0014-BMAQU,Não,Masculino,Não,Sim,Não,63,Sim,Sim,Fibra Óptica,Sim,Não,Não,Sim,Não,Não,Bianual,2.82,Sim,Cartão de crédito (automática),84.65,5377.8
8,0015-UOCOJ,Não,Feminino,Sim,Não,Não,7,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,1.61,Sim,Cheque eletrônico,48.2,340.35
9,0016-QLJIS,Não,Feminino,Não,Sim,Sim,65,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,3.02,Sim,Cheque,90.45,5957.9
10,0017-DINOC,Não,Masculino,Não,Não,Não,54,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Sim,Não,Bianual,1.51,Não,Cartão de crédito (automática),45.2,2460.55
11,0017-IUDMW,Não,Feminino,Não,Sim,Sim,72,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,3.89,Sim,Cartão de crédito (automática),116.8,8456.75
12,0018-NYROU,Não,Feminino,Não,Sim,Não,5,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,2.3,Sim,Cheque eletrônico,68.95,351.5
13,0019-EFAEP,Não,Feminino,Não,Não,Não,72,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Não,Sim,Não,Bianual,3.38,Sim,Tranferência bancária (automática),101.3,7261.25
14,0019-GFNTW,Não,Feminino,Não,Não,Não,56,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Bianual,1.5,Não,Tranferência bancária (automática),45.05,2560.1
15,0020-INWCK,Não,Feminino,Não,Sim,Sim,71,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Não,Sim,Bianual,3.19,Sim,Cartão de crédito (automática),95.75,6849.4
16,0020-JDNXP,Não,Feminino,Não,Sim,Sim,34,Não,Sem serviço de telefone,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,2.04,Não,Cheque,61.25,1993.2
17,0021-IKXGC,Não,Feminino,Sim,Não,Não,1,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,2.4,Sim,Cheque eletrônico,72.1,72.1
18,0022-TCJCI,Sim,Masculino,Sim,Não,Não,45,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Sim,Anual,2.09,Não,Cartão de crédito (automática),62.7,2791.5
19,0023-HGHWL,Sim,Masculino,Sim,Não,Não,1,Não,Sem serviço de telefone,DSL,Não,Não,Não,Não,Não,Não,Mensal,0.84,Sim,Cheque eletrônico,25.1,25.1
20,0023-UYUPN,Não,Feminino,Sim,Sim,Não,50,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.84,Não,Cheque eletrônico,25.2,1306.3
21,0023-XUOPT,Sim,Feminino,Não,Sim,Não,13,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Não,Mensal,3.14,Não,Cheque eletrônico,94.1,1215.6
22,0027-KWYKW,Não,Feminino,Não,Sim,Sim,23,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Não,Mensal,2.79,Sim,Cheque eletrônico,83.75,1849.95
23,0030-FNXPP,Não,Feminino,Não,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.66,Não,Cheque,19.85,57.2
24,0031-PVLZI,Sim,Feminino,Não,Sim,Sim,4,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,0.68,Não,Cheque,20.35,76.35
25,0032-PGELS,Sim,Feminino,Não,Sim,Sim,1,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Não,Não,Não,Mensal,1.02,Não,Tranferência bancária (automática),30.5,30.5
26,0036-IHMOT,Não,Feminino,Não,Sim,Sim,55,Sim,Não,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Anual,3.46,Sim,Tranferência bancária (automática),103.7,5656.75
27,0040-HALCW,Não,Masculino,Não,Sim,Sim,54,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.68,Não,Cartão de crédito (automática),20.4,1090.6
28,0042-JVWOJ,Não,Masculino,Não,Não,Não,26,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.65,Sim,Tranferência bancária (automática),19.6,471.85
29,0042-RLHYP,Não,Feminino,Não,Sim,Sim,69,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.66,Não,Tranferência bancária (automática),19.7,1396.9
30,0048-LUMLS,Não,Masculino,Não,Sim,Sim,37,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Anual,3.04,Não,Cartão de crédito (automática),91.2,3247.55
31,0048-PIHNL,Não,Feminino,Não,Sim,Não,49,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.68,Não,Tranferência bancária (automática),20.45,900.9
32,0052-DCKON,Não,Masculino,Não,Sim,Não,66,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,3.86,Não,Tranferência bancária (automática),115.8,7942.15
33,0052-YNYOT,Não,Feminino,Não,Não,Não,67,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,0.68,Não,Cheque eletrônico,20.55,1343.4
34,0056-EPFBG,Não,Masculino,Não,Sim,Sim,20,Não,Sem serviço de telefone,DSL,Sim,Não,Sim,Sim,Não,Não,Bianual,1.31,Sim,Cartão de crédito (automática),39.4,825.4
35,0057-QBUQH,Não,Feminino,Não,Não,Sim,43,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.84,Sim,Cheque eletrônico,25.1,1070.15
36,0058-EVZWM,Não,Feminino,Não,Sim,Não,55,Sim,Sim,Fibra Óptica,Sim,Não,Não,Não,Sim,Não,Mensal,2.99,Sim,Tranferência bancária (automática),89.8,4959.6
37,0060-FUALY,Não,Feminino,Não,Sim,Não,59,Sim,Sim,Fibra Óptica,Sim,Sim,Não,Não,Sim,Não,Mensal,3.16,Sim,Cheque eletrônico,94.75,5597.65
38,0064-SUDOG,Não,Feminino,Não,Sim,Sim,12,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,0.68,Não,Tranferência bancária (automática),20.3,224.5
39,0064-YIJGF,Não,Masculino,Não,Sim,Sim,27,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,2.52,Sim,Tranferência bancária (automática),75.75,1929.0
40,0067-DKWBL,Sim,Masculino,Sim,Não,Não,2,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,1.64,Sim,Cheque eletrônico,49.25,91.1
