ID_Cliente,Evasao,Genero,Eh_Idoso,Tem_Parceiro,Tem_Dependentes,Tempo_Contrato,Servico_Telefone,Linhas_Multiplas,Servico_Internet,Adiconal_Seguranca,Adicional_Backup,Adiconal_Protecao,Adicional_Suporte,Streaming_TV,Streaming_Filmes,Tipo_Contrato,Valor_Dia,Conta_Digital,Metodo_Pagamento,Valor_Mensal,Valor_Total
0002-ORFBO,Não,Feminino,Não,Sim,Sim,9,Sim,Não,DSL,Não,Sim,Não,Sim,Sim,Não,Anual,2.19,Sim,Cheque,65.6,593.3
0003-MKNFE,Não,Masculino,Não,Não,Não,9,Sim,Sim,DSL,Não,Não,Não,Não,Não,Sim,Mensal,2.0,Não,Cheque,59.9,542.4
0004-TLHLJ,Sim,Masculino,Não,Não,Não,4,Sim,Não,Fibra Óptica,Não,Não,Sim,Não,Não,Não,Mensal,2.46,Sim,Cheque eletrônico,73.9,280.85
0011-IGKFF,Sim,Masculino,Sim,Sim,Não,13,Sim,Não,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,3.27,Sim,Cheque eletrônico,98.0,1237.85
0013-EXCHZ,Sim,Feminino,Sim,Sim,Não,3,Sim,Não,Fibra Óptica,Não,Não,Não,Sim,Sim,Não,Mensal,2.8,Sim,Cheque,83.9,267.4
0013-MHZWF,Não,Feminino,Não,Não,Sim,9,Sim,Não,DSL,Não,Não,Não,Sim,Sim,Sim,Mensal,2.31,Sim,Cartão de crédito (automática),69.4,571.45
0013-SMEOE,Não,Feminino,Sim,Sim,Não,71,Sim,Não,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,3.66,Sim,Tranferência bancária (automática),109.7,7904.25
0014-BMAQU,Não,Masculino,Não,Sim,Não,63,Sim,Sim,Fibra Óptica,Sim,Não,Não,Sim,Não,Não,Bianual,2.82,Sim,Cartão de crédito (automática),84.65,5377.8
0015-UOCOJ,Não,Feminino,Sim,Não,Não,7,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,1.61,Sim,Cheque eletrônico,48.2,340.35
0016-QLJIS,Não,Feminino,Não,Sim,Sim,65,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,3.02,Sim,Cheque,90.45,5957.9
0017-DINOC,Não,Masculino,Não,Não,Não,54,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Sim,Não,Bianual,1.51,Não,Cartão de crédito (automática),45.2,2460.55
0017-IUDMW,Não,Feminino,Não,Sim,Sim,72,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,3.89,Sim,Cartão de crédito (automática),116.8,8456.75
0018-NYROU,Não,Feminino,Não,Sim,Não,5,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mensal,2.3,Sim,Cheque eletrônico,68.95,351.5
0019-EFAEP,Não,Feminino,Não,Não,Não,72,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Não,Sim,Não,Bianual,3.38,Sim,Tranferência bancária (automática),101.3,7261.25
